Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0138171	KL	0	1	LastDelay	0.0128171	12817.1	1	1
0.0138171	KL	0	1	FullDelay	0.0128171	12817.1	1	1
0.0224331	KL	0	2	LastDelay	0.0204331	20433.1	1	1
0.0224331	KL	0	2	FullDelay	0.0204331	20433.1	1	1
0.0310491	KL	0	3	LastDelay	0.0280491	28049.1	1	1
0.0310491	KL	0	3	FullDelay	0.0280491	28049.1	1	1
0.0392598	Ashburn	0	1	LastDelay	0.0382598	38259.8	1	1
0.0392598	Ashburn	0	1	FullDelay	0.0382598	38259.8	1	1
0.0396651	KL	0	4	LastDelay	0.0356651	35665.1	1	1
0.0396651	KL	0	4	FullDelay	0.0356651	35665.1	1	1
0.0478758	Ashburn	0	2	LastDelay	0.0458758	45875.8	1	1
0.0478758	Ashburn	0	2	FullDelay	0.0458758	45875.8	1	1
0.0482811	KL	0	5	LastDelay	0.0432811	43281.1	1	1
0.0482811	KL	0	5	FullDelay	0.0432811	43281.1	1	1
0.0518151	Chennai	0	1	LastDelay	0.0508151	50815.1	1	1
0.0518151	Chennai	0	1	FullDelay	0.0508151	50815.1	1	1
0.0564918	Ashburn	0	3	LastDelay	0.0534918	53491.8	1	1
0.0564918	Ashburn	0	3	FullDelay	0.0534918	53491.8	1	1
0.0568971	KL	0	6	LastDelay	0.0508971	50897.1	1	1
0.0568971	KL	0	6	FullDelay	0.0508971	50897.1	1	1
0.0651078	Ashburn	0	4	LastDelay	0.0611078	61107.8	1	1
0.0651078	Ashburn	0	4	FullDelay	0.0611078	61107.8	1	1
0.0655131	KL	0	7	LastDelay	0.0585131	58513.1	1	1
0.0655131	KL	0	7	FullDelay	0.0585131	58513.1	1	1
0.0686432	Chennai	0	2	LastDelay	0.0666432	66643.2	1	1
0.0686432	Chennai	0	2	FullDelay	0.0666432	66643.2	1	1
0.0737238	Ashburn	0	5	LastDelay	0.0687238	68723.8	1	1
0.0737238	Ashburn	0	5	FullDelay	0.0687238	68723.8	1	1
0.0741291	KL	0	8	LastDelay	0.0661291	66129.1	1	1
0.0741291	KL	0	8	FullDelay	0.0661291	66129.1	1	1
0.0773457	Tokyo	0	1	LastDelay	0.0763457	76345.7	1	1
0.0773457	Tokyo	0	1	FullDelay	0.0763457	76345.7	1	1
0.0823398	Ashburn	0	6	LastDelay	0.0763398	76339.8	1	1
0.0823398	Ashburn	0	6	FullDelay	0.0763398	76339.8	1	1
0.0827851	KL	0	9	LastDelay	0.0737851	73785.1	1	1
0.0827851	KL	0	9	FullDelay	0.0737851	73785.1	1	1
0.0854713	Chennai	0	3	LastDelay	0.0824713	82471.3	1	1
0.0854713	Chennai	0	3	FullDelay	0.0824713	82471.3	1	1
0.0859617	Tokyo	0	2	LastDelay	0.0839617	83961.7	1	1
0.0859617	Tokyo	0	2	FullDelay	0.0839617	83961.7	1	1
0.0905793	Seoul	0	1	LastDelay	0.0895793	89579.3	1	2
0.0905793	Seoul	0	1	FullDelay	0.0895793	89579.3	1	2
0.0909558	Ashburn	0	7	LastDelay	0.0839558	83955.8	1	1
0.0909558	Ashburn	0	7	FullDelay	0.0839558	83955.8	1	1
0.0914011	KL	0	10	LastDelay	0.0814011	81401.1	1	1
0.0914011	KL	0	10	FullDelay	0.0814011	81401.1	1	1
0.0926781	Brisbane	0	1	LastDelay	0.0916781	91678.1	1	2
0.0926781	Brisbane	0	1	FullDelay	0.0916781	91678.1	1	2
0.0945777	Tokyo	0	3	LastDelay	0.0915777	91577.7	1	1
0.0945777	Tokyo	0	3	FullDelay	0.0915777	91577.7	1	1
0.0956673	Osaka	0	1	LastDelay	0.0946673	94667.3	1	2
0.0956673	Osaka	0	1	FullDelay	0.0946673	94667.3	1	2
0.0991953	Seoul	0	2	LastDelay	0.0971953	97195.3	1	2
0.0991953	Seoul	0	2	FullDelay	0.0971953	97195.3	1	2
0.0995718	Ashburn	0	8	LastDelay	0.0915718	91571.8	1	1
0.0995718	Ashburn	0	8	FullDelay	0.0915718	91571.8	1	1
0.100017	KL	0	11	LastDelay	0.0890171	89017.1	1	1
0.100017	KL	0	11	FullDelay	0.0890171	89017.1	1	1
0.101294	Brisbane	0	2	LastDelay	0.0992941	99294.1	1	2
0.101294	Brisbane	0	2	FullDelay	0.0992941	99294.1	1	2
0.102299	Chennai	0	4	LastDelay	0.0982995	98299.5	1	1
0.102299	Chennai	0	4	FullDelay	0.0982995	98299.5	1	1
0.103194	Tokyo	0	4	LastDelay	0.0991937	99193.7	1	1
0.103194	Tokyo	0	4	FullDelay	0.0991937	99193.7	1	1
0.10442	Sydney	0	1	LastDelay	0.10342	103420	1	3
0.10442	Sydney	0	1	FullDelay	0.10342	103420	1	3
0.10762	Manila	0	1	LastDelay	0.10662	106620	1	2
0.10762	Manila	0	1	FullDelay	0.10662	106620	1	2
0.107811	Seoul	0	3	LastDelay	0.104811	104811	1	2
0.107811	Seoul	0	3	FullDelay	0.104811	104811	1	2
0.108228	Ashburn	0	9	LastDelay	0.0992278	99227.8	1	1
0.108228	Ashburn	0	9	FullDelay	0.0992278	99227.8	1	1
0.108633	KL	0	12	LastDelay	0.0966331	96633.1	1	1
0.108633	KL	0	12	FullDelay	0.0966331	96633.1	1	1
0.10991	Brisbane	0	3	LastDelay	0.10691	106910	1	2
0.10991	Brisbane	0	3	FullDelay	0.10691	106910	1	2
0.11181	Tokyo	0	5	LastDelay	0.10681	106810	1	1
0.11181	Tokyo	0	5	FullDelay	0.10681	106810	1	1
0.112495	Osaka	0	2	LastDelay	0.110495	110495	1	2
0.112495	Osaka	0	2	FullDelay	0.110495	110495	1	2
0.113036	Sydney	0	2	LastDelay	0.111036	111036	1	3
0.113036	Sydney	0	2	FullDelay	0.111036	111036	1	3
0.113077	Nagoya	0	1	LastDelay	0.112077	112077	1	3
0.113077	Nagoya	0	1	FullDelay	0.112077	112077	1	3
0.115945	Melbourne	0	1	LastDelay	0.114945	114945	1	4
0.115945	Melbourne	0	1	FullDelay	0.114945	114945	1	4
0.116427	Seoul	0	4	LastDelay	0.112427	112427	1	2
0.116427	Seoul	0	4	FullDelay	0.112427	112427	1	2
0.116844	Ashburn	0	10	LastDelay	0.106844	106844	1	1
0.116844	Ashburn	0	10	FullDelay	0.106844	106844	1	1
0.117249	KL	0	19	LastDelay	0.0982491	98249.1	1	1
0.117249	KL	0	19	FullDelay	0.0982491	98249.1	1	1
0.118526	Brisbane	0	4	LastDelay	0.114526	114526	1	2
0.118526	Brisbane	0	4	FullDelay	0.114526	114526	1	2
0.119128	Chennai	0	5	LastDelay	0.114128	114128	1	1
0.119128	Chennai	0	5	FullDelay	0.114128	114128	1	1
0.120426	Tokyo	0	6	LastDelay	0.114426	114426	1	1
0.120426	Tokyo	0	6	FullDelay	0.114426	114426	1	1
0.121652	Sydney	0	3	LastDelay	0.118652	118652	1	3
0.121652	Sydney	0	3	FullDelay	0.118652	118652	1	3
0.12184	Auckland	0	1	LastDelay	0.12084	120840	1	4
